"","PolicyID","AggClaimAmount","ClaimNb","Exposure","Power","CarAge","DriverAge","Brand","Gas","Region","Density","LogAggClaimAmount","LogDensity","CatDriverAge","powerF"
"1948",39599,1113,1,0.63,"e",15,33,"Renault, Nissan or Citroen","Diesel","R24",2715,7.01481435127554,7.90654723236804,2,"DEF"
"1949",39613,1128,1,0.79,"f",4,50,"Renault, Nissan or Citroen","Diesel","R24",50,7.028201432058,3.91202300542815,1,"DEF"
"1951",39724,75,1,0.84,"j",3,51,"Mercedes, Chrysler or BMW","Regular","R24",64,4.31748811353631,4.15888308335967,1,"other"
"1952",39734,1401,1,0.53,"m",0,51,"Fiat","Regular","R24",46,7.24494154633701,3.8286413964891,1,"other"
"1953",39740,5740,1,0.02,"e",9,34,"Renault, Nissan or Citroen","Diesel","R24",78,8.65521448931361,4.35670882668959,2,"DEF"
"1954",39748,1171,1,0.33,"f",1,49,"Renault, Nissan or Citroen","Diesel","R24",29,7.06561336359772,3.36729582998647,2,"DEF"
"1955",39776,87,1,1,"f",4,43,"Renault, Nissan or Citroen","Diesel","R24",15,4.46590811865458,2.70805020110221,2,"DEF"
"1956",39794,1107,1,0.94,"f",11,51,"Renault, Nissan or Citroen","Diesel","R24",73,7.00940893270864,4.29045944114839,1,"DEF"
"1957",39814,61,1,1,"g",5,40,"Volkswagen, Audi, Skoda or Seat","Regular","R24",405,4.11087386417331,6.00388706710654,2,"GH"
"1958",39861,1111,1,0.74,"h",10,21,"Fiat","Regular","R24",405,7.01301578963963,6.00388706710654,4,"GH"
"1959",39866,1125,1,0.78,"f",12,69,"Renault, Nissan or Citroen","Diesel","R24",155,7.02553831463852,5.04342511691925,1,"DEF"
"1960",39873,66,1,0.24,"g",2,57,"Renault, Nissan or Citroen","Diesel","R24",84,4.18965474202643,4.43081679884331,1,"GH"
"1961",39886,1149,1,0.75,"k",5,45,"Opel, General Motors or Ford","Diesel","R24",192,7.04664727784876,5.25749537202778,2,"other"
"1962",39940,60,1,0.83,"f",8,64,"Renault, Nissan or Citroen","Diesel","R24",29,4.0943445622221,3.36729582998647,1,"DEF"
"1963",40015,1155,1,0.41,"d",13,51,"Fiat","Regular","R24",31,7.05185562295589,3.43398720448515,1,"DEF"
"1964",40018,2533,1,0.02,"d",11,87,"Renault, Nissan or Citroen","Regular","R24",232,7.83715965000168,5.44673737166631,1,"DEF"
"1965",40033,375,1,1,"f",4,33,"Renault, Nissan or Citroen","Diesel","R24",10,5.92692602597041,2.30258509299405,2,"DEF"
"1966",40084,1133,1,1,"g",12,42,"Renault, Nissan or Citroen","Diesel","R24",2715,7.03262426102801,7.90654723236804,2,"GH"
"1967",40087,90,1,1,"g",4,33,"Renault, Nissan or Citroen","Diesel","R24",9,4.49980967033027,2.19722457733622,2,"GH"
"1968",40106,1158,1,1,"f",31,46,"Renault, Nissan or Citroen","Diesel","R24",50,7.05444965813294,3.91202300542815,2,"DEF"
"1969",40120,3770,1,0.32,"f",4,40,"Renault, Nissan or Citroen","Diesel","R24",138,8.23483028044206,4.92725368515721,2,"DEF"
"1970",40140,1986,1,1,"f",5,76,"Renault, Nissan or Citroen","Diesel","R24",50,7.59387784460512,3.91202300542815,1,"DEF"
"1971",40161,515,1,1,"e",8,35,"Opel, General Motors or Ford","Diesel","R24",741,6.24416690066374,6.60800062529609,2,"DEF"
"1975",40219,2340,2,1,"f",9,64,"Renault, Nissan or Citroen","Diesel","R24",282,7.75790620835175,5.64190707093811,1,"DEF"
"1977",40248,508,1,1,"f",5,30,"Renault, Nissan or Citroen","Diesel","R24",282,6.23048144757848,5.64190707093811,2,"DEF"
"1984",40371,635,1,1,"f",11,44,"Renault, Nissan or Citroen","Regular","R24",92,6.45362499889269,4.52178857704904,2,"DEF"
"1996",40605,1541,1,1,"d",8,55,"Volkswagen, Audi, Skoda or Seat","Regular","R24",119,7.34018683532012,4.77912349311153,1,"DEF"
"1998",40654,1102,1,1,"g",4,73,"Renault, Nissan or Citroen","Regular","R24",11,7.00488198971286,2.39789527279837,1,"GH"
"1999",40661,1331,1,0.77,"d",10,36,"Renault, Nissan or Citroen","Regular","R24",261,7.19368581839511,5.56452040732269,2,"DEF"
"2000",40720,1283,1,1,"f",6,41,"Renault, Nissan or Citroen","Diesel","R24",405,7.15695636461564,6.00388706710654,2,"DEF"
"2001",40730,76,1,1,"d",13,44,"Renault, Nissan or Citroen","Regular","R24",13,4.33073334028633,2.56494935746154,2,"DEF"
"2002",40736,698,1,1,"n",7,54,"Mercedes, Chrysler or BMW","Regular","R24",132,6.54821910276237,4.88280192258637,1,"other"
"2003",40746,1163,1,1,"h",13,40,"other","Diesel","R24",399,7.05875815251866,5.98896141688986,2,"GH"
"2004",40751,472,1,1,"f",6,32,"Renault, Nissan or Citroen","Diesel","R24",29,6.15697898558556,3.36729582998647,2,"DEF"
"2005",40760,1175,1,0.66,"i",10,36,"Renault, Nissan or Citroen","Regular","R24",405,7.06902342657826,6.00388706710654,2,"other"
"2006",40782,1096,1,0.8,"g",1,55,"Renault, Nissan or Citroen","Diesel","R24",102,6.99942246750796,4.62497281328427,1,"GH"
"2007",40812,1103,1,1,"f",7,71,"Renault, Nissan or Citroen","Diesel","R24",50,7.0057890192535,3.91202300542815,1,"DEF"
"2008",40867,47,1,1,"f",11,41,"Renault, Nissan or Citroen","Diesel","R24",38,3.85014760171006,3.63758615972639,2,"DEF"
"2009",40909,1320,1,0.41,"d",11,40,"Renault, Nissan or Citroen","Diesel","R24",203,7.18538701558042,5.31320597904179,2,"DEF"
"2010",40913,2307,1,0.09,"g",0,48,"Renault, Nissan or Citroen","Diesel","R24",149,7.74370325817375,5.00394630594546,2,"GH"
"2011",40934,1179,1,1,"e",11,56,"Renault, Nissan or Citroen","Regular","R24",1064,7.07242190053737,6.96979066990159,1,"DEF"
"2012",40936,69,1,0.99,"d",10,34,"Renault, Nissan or Citroen","Diesel","R24",203,4.23410650459726,5.31320597904179,2,"DEF"
"2013",40946,1000,1,1,"e",9,34,"Renault, Nissan or Citroen","Diesel","R24",4116,6.90775527898214,8.32263709695394,2,"DEF"
"2014",40953,273,1,1,"d",2,38,"Renault, Nissan or Citroen","Regular","R24",754,5.60947179518496,6.62539236800796,2,"DEF"
"2015",40960,3622,1,0.79,"f",6,59,"Renault, Nissan or Citroen","Diesel","R24",57,8.19478163844336,4.04305126783455,1,"DEF"
"2025",41327,1206,1,0.62,"g",12,52,"Renault, Nissan or Citroen","Regular","R24",74,7.09506437728713,4.30406509320417,1,"GH"
"2037",41532,4860,1,0.56,"f",7,35,"Renault, Nissan or Citroen","Diesel","R24",88,8.48879371689454,4.47733681447821,2,"DEF"
"2038",41558,1116,1,0.28,"d",4,35,"Fiat","Regular","R24",12,7.01750614294126,2.484906649788,2,"DEF"
"2039",41588,1155,1,1,"n",7,65,"Mercedes, Chrysler or BMW","Diesel","R24",44,7.05185562295589,3.78418963391826,1,"other"
"2041",41676,1081,1,1,"g",10,45,"Renault, Nissan or Citroen","Regular","R24",1313,6.98564181763921,7.1800698743028,2,"GH"
"2042",41689,1148,1,1,"e",8,35,"Renault, Nissan or Citroen","Diesel","R24",222,7.04577657687951,5.40267738187228,2,"DEF"
"2043",41725,1100,1,1,"f",3,68,"Renault, Nissan or Citroen","Diesel","R24",8,7.00306545878646,2.07944154167984,1,"DEF"
"2044",41745,1082,1,1,"f",13,55,"Renault, Nissan or Citroen","Regular","R24",50,6.98656645940643,3.91202300542815,1,"DEF"
"2045",41762,1857,1,0.92,"d",15,33,"Renault, Nissan or Citroen","Regular","R24",4116,7.52671756135271,8.32263709695394,2,"DEF"
"2046",41766,1147,1,1,"g",2,56,"Renault, Nissan or Citroen","Diesel","R24",358,7.04490511712937,5.8805329864007,1,"GH"
"2050",41890,1110,1,0.49,"g",11,47,"Renault, Nissan or Citroen","Diesel","R24",14,7.01211529430638,2.63905732961526,2,"GH"
"2054",41986,1163,1,1,"g",4,49,"Renault, Nissan or Citroen","Diesel","R24",3,7.05875815251866,1.09861228866811,2,"GH"
"2055",41994,424,1,1,"e",7,45,"Renault, Nissan or Citroen","Regular","R24",4116,6.04973345523196,8.32263709695394,2,"DEF"
"2056",42026,2700,1,1,"e",7,50,"Opel, General Motors or Ford","Diesel","R24",493,7.90100705199242,6.20050917404269,1,"DEF"
"2057",42029,2594,1,1,"f",2,52,"Renault, Nissan or Citroen","Regular","R24",10,7.86095636487639,2.30258509299405,1,"DEF"
"2058",42046,2100,1,0.75,"f",6,33,"Renault, Nissan or Citroen","Diesel","R24",26,7.64969262371151,3.25809653802148,2,"DEF"
"2059",42062,85,1,0.61,"i",12,36,"Renault, Nissan or Citroen","Regular","R24",4116,4.44265125649032,8.32263709695394,2,"other"
"2062",42106,1127,1,1,"e",10,36,"Renault, Nissan or Citroen","Diesel","R24",155,7.02731451403978,5.04342511691925,2,"DEF"
"2063",42114,1200,1,0.73,"f",8,39,"Renault, Nissan or Citroen","Diesel","R24",405,7.09007683577609,6.00388706710654,2,"DEF"
"2064",42120,82,1,1,"d",18,40,"Renault, Nissan or Citroen","Regular","R24",405,4.40671924726425,6.00388706710654,2,"DEF"
"2065",42141,670,1,0.68,"f",10,52,"Renault, Nissan or Citroen","Regular","R24",115,6.50727771238501,4.74493212836325,1,"DEF"
"2066",42153,759,1,0.31,"e",11,32,"Renault, Nissan or Citroen","Diesel","R24",17,6.63200177739563,2.83321334405622,2,"DEF"
"2067",42164,1095,1,1,"d",3,66,"Fiat","Regular","R24",399,6.9985096422506,5.98896141688986,1,"DEF"
"2068",42196,73,1,1,"e",14,67,"Renault, Nissan or Citroen","Diesel","R24",61,4.29045944114839,4.11087386417331,1,"DEF"
"2070",42299,1526,1,0.12,"f",7,39,"Renault, Nissan or Citroen","Diesel","R24",182,7.3304052118444,5.2040066870768,2,"DEF"
"2071",42315,1133,1,1,"e",1,52,"Volkswagen, Audi, Skoda or Seat","Regular","R24",7,7.03262426102801,1.94591014905531,1,"DEF"
"2072",42317,850,1,0.93,"f",9,63,"Opel, General Motors or Ford","Regular","R24",405,6.74523634948436,6.00388706710654,1,"DEF"
"2073",42355,1151,1,1,"f",13,59,"Renault, Nissan or Citroen","Diesel","R24",45,7.04838640872188,3.80666248977032,1,"DEF"
"2075",42413,197,1,1,"f",4,40,"Renault, Nissan or Citroen","Diesel","R24",43,5.28320372873799,3.76120011569356,2,"DEF"
"2076",42419,2218,1,0.55,"e",11,51,"Renault, Nissan or Citroen","Diesel","R24",12,7.70436116791031,2.484906649788,1,"DEF"
"2077",42442,77,1,0.24,"i",19,40,"Renault, Nissan or Citroen","Regular","R24",56,4.34380542185368,4.02535169073515,2,"other"
"2078",42473,1061,1,1,"g",13,76,"Renault, Nissan or Citroen","Regular","R24",511,6.96696713861398,6.2363695902037,1,"GH"
"2079",42488,1096,1,1,"f",8,71,"Renault, Nissan or Citroen","Diesel","R24",29,6.99942246750796,3.36729582998647,1,"DEF"
"2080",42492,1156,1,1,"f",7,45,"Renault, Nissan or Citroen","Regular","R24",394,7.05272104923232,5.97635090929793,2,"DEF"
"2083",42580,265,1,0.58,"h",2,73,"Renault, Nissan or Citroen","Regular","R24",48,5.57972982598622,3.87120101090789,1,"GH"
"2085",42600,1133,1,0.78,"e",8,64,"Renault, Nissan or Citroen","Regular","R24",234,7.03262426102801,5.4553211153577,1,"DEF"
"2087",42620,670,1,1,"f",2,55,"Renault, Nissan or Citroen","Diesel","R24",102,6.50727771238501,4.62497281328427,1,"DEF"
"2088",42684,1117,1,0.49,"e",8,40,"Opel, General Motors or Ford","Regular","R24",43,7.0184017990692,3.76120011569356,2,"DEF"
"2089",42747,1089,1,1,"f",17,59,"Renault, Nissan or Citroen","Regular","R24",45,6.99301512293296,3.80666248977032,1,"DEF"
"2090",42794,80,1,1,"f",6,34,"Renault, Nissan or Citroen","Diesel","R24",164,4.38202663467388,5.0998664278242,2,"DEF"
"2091",42808,10016,1,0.33,"g",6,42,"Renault, Nissan or Citroen","Diesel","R24",30,9.21193909333988,3.40119738166216,2,"GH"
"2092",42818,2810,1,0.83,"f",7,54,"Renault, Nissan or Citroen","Diesel","R24",11,7.94093976232779,2.39789527279837,1,"DEF"
"2097",42980,1149,1,0.82,"g",10,36,"Renault, Nissan or Citroen","Diesel","R24",59,7.04664727784876,4.07753744390572,2,"GH"
"2101",43138,12762,1,1,"f",7,64,"Fiat","Diesel","R24",57,9.45422728442829,4.04305126783455,1,"DEF"
"2103",43164,2732,1,0.83,"e",3,33,"Opel, General Motors or Ford","Diesel","R24",1064,7.91278922069068,6.96979066990159,2,"DEF"
"2104",43201,65,1,1,"g",1,64,"Renault, Nissan or Citroen","Regular","R24",399,4.17438726989564,5.98896141688986,1,"GH"
"2105",43220,4944,1,0.89,"g",3,73,"Renault, Nissan or Citroen","Regular","R24",32,8.50592999913753,3.46573590279973,1,"GH"
"2116",43535,1072,1,1,"k",4,44,"Japanese (except Nissan) or Korean","Regular","R24",24,6.97728134163075,3.17805383034795,2,"other"
"2117",43555,1101,1,1,"j",4,42,"Opel, General Motors or Ford","Regular","R24",298,7.00397413672268,5.6970934865054,2,"other"
"2118",43558,79,1,1,"f",4,52,"Renault, Nissan or Citroen","Diesel","R24",44,4.36944785246702,3.78418963391826,1,"DEF"
"2119",43565,1102,1,0.21,"e",7,58,"Renault, Nissan or Citroen","Diesel","R24",106,7.00488198971286,4.66343909411207,1,"DEF"
"2120",43601,1102,1,0.51,"h",6,42,"Renault, Nissan or Citroen","Diesel","R24",57,7.00488198971286,4.04305126783455,2,"GH"
"2122",43643,1133,1,1,"f",11,72,"Renault, Nissan or Citroen","Regular","R24",59,7.03262426102801,4.07753744390572,1,"DEF"
"2123",43654,81,1,0.43,"f",9,30,"Renault, Nissan or Citroen","Diesel","R24",12,4.39444915467244,2.484906649788,2,"DEF"
"2124",43669,1183,1,1,"f",5,35,"Renault, Nissan or Citroen","Diesel","R24",2715,7.07580886397839,7.90654723236804,2,"DEF"
"2125",43676,2241,2,1,"d",10,70,"Renault, Nissan or Citroen","Regular","R24",40,7.71467747380093,3.68887945411394,1,"DEF"
"2127",43765,1194,1,1,"e",2,46,"Renault, Nissan or Citroen","Diesel","R24",511,7.08506429395255,6.2363695902037,2,"DEF"
"2128",43768,1110,1,1,"e",5,67,"Renault, Nissan or Citroen","Regular","R24",27,7.01211529430638,3.29583686600433,1,"DEF"
"2129",43773,1117,1,0.34,"e",11,57,"Renault, Nissan or Citroen","Diesel","R24",493,7.0184017990692,6.20050917404269,1,"DEF"
"2130",43794,1148,1,0.66,"f",1,36,"Renault, Nissan or Citroen","Regular","R24",4116,7.04577657687951,8.32263709695394,2,"DEF"
"2131",43800,1110,1,1,"f",5,49,"Volkswagen, Audi, Skoda or Seat","Regular","R24",1109,7.01211529430638,7.01121398735037,2,"DEF"
"2145",44051,1179,1,1,"j",15,75,"Fiat","Regular","R24",155,7.07242190053737,5.04342511691925,1,"other"
"2146",44065,1089,1,0.64,"d",5,74,"Opel, General Motors or Ford","Regular","R24",48,6.99301512293296,3.87120101090789,1,"DEF"
"2147",44076,501,1,0.5,"e",1,33,"Volkswagen, Audi, Skoda or Seat","Regular","R24",405,6.21660610108486,6.00388706710654,2,"DEF"
"2148",44117,1060,1,0.78,"g",7,30,"Renault, Nissan or Citroen","Regular","R24",239,6.96602418710611,5.47646355193151,2,"GH"
"2149",44128,2185,1,0.51,"h",3,44,"Opel, General Motors or Ford","Regular","R24",1313,7.68937110752969,7.1800698743028,2,"GH"
"2151",44203,1133,1,1,"f",15,36,"Renault, Nissan or Citroen","Diesel","R24",57,7.03262426102801,4.04305126783455,2,"DEF"
"2152",44268,1099,1,1,"h",6,54,"Renault, Nissan or Citroen","Diesel","R24",307,7.00215595440362,5.7268477475872,1,"GH"
"2154",44277,1086,1,1,"e",3,62,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",49,6.99025650049388,3.89182029811063,1,"DEF"
"2155",44300,272,1,1,"f",2,47,"Renault, Nissan or Citroen","Diesel","R24",41,5.605802066296,3.71357206670431,2,"DEF"
"2156",44313,1177,1,0.26,"g",2,47,"Renault, Nissan or Citroen","Regular","R24",176,7.07072410726028,5.17048399503815,2,"GH"
"2162",44426,754,1,0.66,"e",3,30,"Opel, General Motors or Ford","Diesel","R24",223,6.62539236800796,5.40717177146012,2,"DEF"
"2165",44569,588,1,0.91,"g",8,43,"Renault, Nissan or Citroen","Diesel","R24",295,6.37672694789863,5.68697535633982,2,"GH"
"2167",44694,1852,1,0.03,"e",5,37,"Renault, Nissan or Citroen","Regular","R24",149,7.52402141520612,5.00394630594546,2,"DEF"
"2168",44695,5557,1,0.62,"e",5,37,"Renault, Nissan or Citroen","Regular","R24",149,8.62281367327992,5.00394630594546,2,"DEF"
"2172",44854,1096,1,1,"h",10,51,"Opel, General Motors or Ford","Regular","R24",821,6.99942246750796,6.71052310945243,1,"GH"
"2173",44855,533,1,0.86,"h",16,61,"Renault, Nissan or Citroen","Diesel","R24",51,6.27852142416584,3.93182563272433,1,"GH"
"2174",44895,67,1,0.2,"h",0,58,"Renault, Nissan or Citroen","Diesel","R24",405,4.20469261939097,6.00388706710654,1,"GH"
"2175",44935,2581,1,0.96,"e",6,32,"Opel, General Motors or Ford","Diesel","R24",11,7.85593219971861,2.39789527279837,2,"DEF"
"2176",44967,1104,1,1,"e",12,57,"Renault, Nissan or Citroen","Diesel","R24",405,7.00669522683704,6.00388706710654,1,"DEF"
"2177",44984,1111,1,1,"g",12,73,"Renault, Nissan or Citroen","Diesel","R24",16,7.01301578963963,2.77258872223978,1,"GH"
"2178",44993,782,1,1,"f",2,38,"Opel, General Motors or Ford","Diesel","R24",1296,6.66185474054531,7.16703787691222,2,"DEF"
"2179",44995,387,1,1,"e",4,74,"Renault, Nissan or Citroen","Regular","R24",821,5.95842469302978,6.71052310945243,1,"DEF"
"2180",45025,1075,1,1,"d",12,53,"Fiat","Regular","R24",83,6.98007594056176,4.4188406077966,1,"DEF"
"2181",45045,1126,1,1,"e",5,48,"Opel, General Motors or Ford","Diesel","R24",29,7.02642680869964,3.36729582998647,2,"DEF"
"2182",45127,409,1,1,"g",5,37,"Renault, Nissan or Citroen","Diesel","R24",25,6.0137151560428,3.2188758248682,2,"GH"
"2184",45150,123,1,1,"f",13,39,"Renault, Nissan or Citroen","Diesel","R24",43,4.81218435537242,3.76120011569356,2,"DEF"
"2185",45166,1929,1,0.23,"f",4,43,"Renault, Nissan or Citroen","Diesel","R24",61,7.56475701290573,4.11087386417331,2,"DEF"
"2187",45288,1108,1,0.81,"e",0,46,"Renault, Nissan or Citroen","Diesel","R24",399,7.01031186730723,5.98896141688986,2,"DEF"
"2192",45493,1114,1,0.87,"f",10,69,"Renault, Nissan or Citroen","Diesel","R24",1313,7.01571242048723,7.1800698743028,1,"DEF"
"2193",45511,76,1,1,"e",3,37,"Renault, Nissan or Citroen","Regular","R24",1313,4.33073334028633,7.1800698743028,2,"DEF"
"2194",45532,13,1,1,"g",4,77,"Renault, Nissan or Citroen","Regular","R24",1313,2.56494935746154,7.1800698743028,1,"GH"
"2195",45537,1079,1,0.68,"f",11,32,"Renault, Nissan or Citroen","Diesel","R24",56,6.98378996525813,4.02535169073515,2,"DEF"
"2196",45556,1090,1,0.32,"h",5,42,"Renault, Nissan or Citroen","Diesel","R24",57,6.99393297522319,4.04305126783455,2,"GH"
"2197",45568,531,1,1,"e",2,33,"Renault, Nissan or Citroen","Diesel","R24",57,6.27476202124194,4.04305126783455,2,"DEF"
"2200",45643,312,1,1,"f",9,70,"Renault, Nissan or Citroen","Regular","R24",30,5.74300318780948,3.40119738166216,1,"DEF"
"2201",45650,47,1,0.91,"f",4,33,"Renault, Nissan or Citroen","Diesel","R24",111,3.85014760171006,4.70953020131233,2,"DEF"
"2202",45671,1075,1,1,"i",9,47,"Fiat","Regular","R24",9,6.98007594056176,2.19722457733622,2,"other"
"2203",45701,2034,2,0.34,"e",15,61,"Renault, Nissan or Citroen","Diesel","R24",27,7.61775957660851,3.29583686600433,1,"DEF"
"2204",45725,1109,1,1,"i",11,50,"Mercedes, Chrysler or BMW","Diesel","R24",1064,7.01121398735037,6.96979066990159,1,"other"
"2206",45756,105,1,0.57,"g",20,57,"Renault, Nissan or Citroen","Regular","R24",1064,4.65396035015752,6.96979066990159,1,"GH"
"2208",45805,1081,1,1,"g",12,28,"Renault, Nissan or Citroen","Diesel","R24",23,6.98564181763921,3.13549421592915,3,"GH"
"2211",45858,10168,1,0.11,"e",9,35,"Renault, Nissan or Citroen","Diesel","R24",79,9.22700081286929,4.36944785246702,2,"DEF"
"2212",45872,1619,1,1,"f",8,55,"Renault, Nissan or Citroen","Diesel","R24",4116,7.38956395367764,8.32263709695394,1,"DEF"
"2213",45873,1123,1,1,"i",16,51,"Renault, Nissan or Citroen","Regular","R24",1943,7.02375895473844,7.57198844937744,1,"other"
"2214",45874,1127,1,1,"d",10,43,"Opel, General Motors or Ford","Regular","R24",4116,7.02731451403978,8.32263709695394,2,"DEF"
"2217",45912,1076,1,1,"e",6,30,"Renault, Nissan or Citroen","Diesel","R24",20,6.98100574072173,2.99573227355399,2,"DEF"
"2218",45946,1385,1,0.2,"e",6,66,"Renault, Nissan or Citroen","Regular","R24",282,7.23345541862144,5.64190707093811,1,"DEF"
"2219",45971,1128,1,0.74,"g",6,59,"Renault, Nissan or Citroen","Regular","R24",48,7.028201432058,3.87120101090789,1,"GH"
"2228",46117,1143,1,1,"g",13,33,"Volkswagen, Audi, Skoda or Seat","Regular","R24",1052,7.04141166379481,6.95844839329766,2,"GH"
"2238",46255,239,1,0.49,"f",9,47,"Fiat","Regular","R24",48,5.47646355193151,3.87120101090789,2,"DEF"
"2240",46320,1129,1,1,"h",5,43,"Renault, Nissan or Citroen","Diesel","R24",152,7.02908756414966,5.02388052084628,2,"GH"
"2242",46356,1049,1,0.24,"g",10,45,"Opel, General Motors or Ford","Regular","R24",399,6.9555926083963,5.98896141688986,2,"GH"
"2243",46389,1127,1,0.9,"j",0,42,"Renault, Nissan or Citroen","Diesel","R24",614,7.02731451403978,6.41999492814714,2,"other"
"2244",46397,86,1,0.06,"g",9,36,"Renault, Nissan or Citroen","Diesel","R24",12,4.45434729625351,2.484906649788,2,"GH"
"2246",46430,182,1,0.61,"e",4,49,"Renault, Nissan or Citroen","Regular","R24",3368,5.2040066870768,8.12207437536222,2,"DEF"
"2248",46454,1133,1,0.93,"e",10,35,"Opel, General Motors or Ford","Diesel","R24",2715,7.03262426102801,7.90654723236804,2,"DEF"
"2249",46463,1534,1,1,"e",2,43,"Opel, General Motors or Ford","Regular","R24",741,7.3356339819272,6.60800062529609,2,"DEF"
"2250",46465,510,1,1,"h",4,50,"Renault, Nissan or Citroen","Regular","R24",399,6.23441072571837,5.98896141688986,1,"GH"
"2251",46494,62,1,1,"g",14,48,"Renault, Nissan or Citroen","Regular","R24",56,4.12713438504509,4.02535169073515,2,"GH"
"2252",46502,1136,1,1,"f",12,41,"Renault, Nissan or Citroen","Diesel","R24",11,7.0352685992811,2.39789527279837,2,"DEF"
"2253",46525,1096,1,1,"f",4,47,"Renault, Nissan or Citroen","Diesel","R24",27,6.99942246750796,3.29583686600433,2,"DEF"
"2256",46576,1120,1,0.8,"f",6,31,"Opel, General Motors or Ford","Regular","R24",56,7.02108396428914,4.02535169073515,2,"DEF"
"2258",46612,1132,1,0.85,"g",15,50,"Opel, General Motors or Ford","Regular","R24",1054,7.03174125876313,6.96034772910131,1,"GH"
"2261",46677,464,1,1,"d",2,62,"Renault, Nissan or Citroen","Regular","R24",118,6.13988455222626,4.77068462446567,1,"DEF"
"2262",46683,1150,1,0.5,"g",2,61,"Renault, Nissan or Citroen","Diesel","R24",282,7.0475172213573,5.64190707093811,1,"GH"
"2263",46703,677,1,0.74,"g",14,29,"Renault, Nissan or Citroen","Diesel","R24",111,6.51767127291227,4.70953020131233,3,"GH"
"2265",46742,1136,1,1,"f",4,65,"Renault, Nissan or Citroen","Diesel","R24",78,7.0352685992811,4.35670882668959,1,"DEF"
"2267",46797,1131,1,0.95,"e",17,51,"Renault, Nissan or Citroen","Regular","R24",11,7.03085747611612,2.39789527279837,1,"DEF"
"2268",46819,1095,1,1,"f",7,28,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",40,6.9985096422506,3.68887945411394,3,"DEF"
"2271",46859,1104,1,1,"g",12,46,"Renault, Nissan or Citroen","Regular","R24",20,7.00669522683704,2.99573227355399,2,"GH"
"2275",47050,2996,1,1,"e",15,39,"Renault, Nissan or Citroen","Diesel","R24",614,8.00503334463711,6.41999492814714,2,"DEF"
"2276",47059,1119,1,1,"e",1,54,"Renault, Nissan or Citroen","Diesel","R24",67,7.02019070831193,4.20469261939097,1,"DEF"
"2278",47112,1115,1,0.69,"e",14,72,"Renault, Nissan or Citroen","Regular","R24",170,7.01660968389422,5.13579843705026,1,"DEF"
"2279",47174,1161,1,0.18,"d",11,51,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",405,7.05703698169789,6.00388706710654,1,"DEF"
"2286",47277,1949,1,1,"g",10,62,"Renault, Nissan or Citroen","Regular","R24",25,7.57507169950756,3.2188758248682,1,"GH"
"2287",47287,1173,1,1,"i",10,44,"Renault, Nissan or Citroen","Regular","R24",78,7.06731984865348,4.35670882668959,2,"other"
"2292",47383,1087,1,1,"f",9,28,"Renault, Nissan or Citroen","Regular","R24",138,6.99117688712121,4.92725368515721,3,"DEF"
"2296",47564,2222,1,0.91,"f",7,32,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",222,7.70616297019958,5.40267738187228,2,"DEF"
"2297",47568,16100,1,0.67,"h",9,52,"Renault, Nissan or Citroen","Diesel","R24",83,9.68657455097255,4.4188406077966,1,"GH"
"2298",47584,34856,1,1,"f",2,44,"Renault, Nissan or Citroen","Diesel","R24",20,10.4589805677973,2.99573227355399,2,"DEF"
"2299",47619,5078,1,0.72,"j",11,52,"Renault, Nissan or Citroen","Regular","R24",214,8.53267276226462,5.36597601502185,1,"other"
"2300",47623,224,1,1,"f",2,46,"Opel, General Motors or Ford","Diesel","R24",29,5.41164605185504,3.36729582998647,2,"DEF"
"2303",47640,2689,1,0.43,"d",9,53,"Renault, Nissan or Citroen","Regular","R24",405,7.89692465626886,6.00388706710654,1,"DEF"
"2304",47664,1179,1,1,"e",8,31,"Opel, General Motors or Ford","Diesel","R24",17,7.07242190053737,2.83321334405622,2,"DEF"
"2312",47849,6992,1,0.23,"f",6,29,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",17,8.85252191733537,2.83321334405622,3,"DEF"
"2313",47851,52,1,0.12,"e",4,29,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",17,3.95124371858143,2.83321334405622,3,"DEF"
"2314",47901,414,1,1,"h",12,53,"Renault, Nissan or Citroen","Diesel","R24",126,6.02586597382531,4.83628190695148,1,"GH"
"2316",47932,1137,1,1,"e",5,53,"Opel, General Motors or Ford","Diesel","R24",399,7.03614849375054,5.98896141688986,1,"DEF"
"2317",47969,1160,1,1,"f",4,78,"other","Diesel","R24",405,7.05617528410041,6.00388706710654,1,"DEF"
"2318",47974,1118,1,1,"d",12,74,"Renault, Nissan or Citroen","Regular","R24",295,7.01929665371504,5.68697535633982,1,"DEF"
"2325",48048,1164,1,1,"g",7,78,"Renault, Nissan or Citroen","Diesel","R24",270,7.05961762829138,5.59842195899838,1,"GH"
"2330",48131,70,1,0.72,"f",10,49,"Renault, Nissan or Citroen","Diesel","R24",12,4.24849524204936,2.484906649788,2,"DEF"
"2331",48141,114,1,0.83,"e",14,37,"Renault, Nissan or Citroen","Diesel","R24",19,4.7361984483945,2.94443897916644,2,"DEF"
